product_option_value_id,product_option_id,product_id,option_id,option_value_id,quantity,subtract,price,price_prefix,points,points_prefix,weight,weight_prefix
66844,55670,46147,361,76,1000,0,1,+,0,+,1,+
66845,55670,46147,361,74,1000,0,0,+,0,+,1,+
66846,55670,46147,361,73,1000,0,0,+,0,+,1,+
66847,55670,46147,361,72,1000,0,0,+,0,+,1,+
66848,55670,46147,361,71,1000,0,0,+,0,+,1,+
66849,55670,46147,361,78,1000,0,1,+,0,+,1,+
66850,55672,46144,361,79,1000,0,1,+,0,+,1,+
66851,55672,46144,361,77,1000,0,1,+,0,+,1,+
66852,55672,46144,361,75,1000,0,1,+,0,+,1,+
66853,55672,46144,361,76,1000,0,1,+,0,+,1,+
66854,55672,46144,361,74,1000,0,0,+,0,+,1,+
66855,55672,46144,361,73,1000,0,0,+,0,+,1,+
66856,55672,46144,361,72,1000,0,0,+,0,+,1,+
66857,55672,46144,361,71,1000,0,0,+,0,+,1,+
66858,55672,46144,361,78,1000,0,1,+,0,+,1,+
66859,55674,46145,361,79,1000,0,1,+,0,+,1,+
66860,55674,46145,361,77,1000,0,1,+,0,+,1,+
66861,55674,46145,361,75,1000,0,1,+,0,+,1,+
66862,55674,46145,361,76,1000,0,1,+,0,+,1,+
66863,55674,46145,361,74,1000,0,0,+,0,+,1,+
66864,55674,46145,361,73,1000,0,0,+,0,+,1,+
66865,55674,46145,361,72,1000,0,0,+,0,+,1,+
66866,55674,46145,361,71,1000,0,0,+,0,+,1,+
66867,55674,46145,361,78,1000,0,1,+,0,+,1,+
66868,55676,46146,361,79,1000,0,1,+,0,+,1,+
66869,55676,46146,361,77,1000,0,1,+,0,+,1,+
66870,55676,46146,361,75,1000,0,1,+,0,+,1,+
66871,55676,46146,361,76,1000,0,1,+,0,+,1,+
66872,55676,46146,361,74,1000,0,0,+,0,+,1,+
66873,55676,46146,361,73,1000,0,0,+,0,+,1,+
66874,55676,46146,361,72,1000,0,0,+,0,+,1,+
66875,55676,46146,361,71,1000,0,0,+,0,+,1,+
66876,55676,46146,361,78,1000,0,1,+,0,+,1,+
66877,55678,46148,361,79,1000,0,1,+,0,+,1,+
66878,55678,46148,361,77,1000,0,1,+,0,+,1,+
66879,55678,46148,361,75,1000,0,1,+,0,+,1,+
66880,55678,46148,361,76,1000,0,1,+,0,+,1,+
66881,55678,46148,361,74,1000,0,0,+,0,+,1,+
66882,55678,46148,361,73,1000,0,0,+,0,+,1,+
66883,55678,46148,361,72,1000,0,0,+,0,+,1,+
66884,55678,46148,361,71,1000,0,0,+,0,+,1,+
66885,55678,46148,361,78,1000,0,1,+,0,+,1,+
66886,55680,46149,361,79,1000,1,1,+,0,+,1,+
66887,55680,46149,361,77,1000,0,1,+,0,+,1,+
66888,55680,46149,361,75,1000,0,1,+,0,+,1,+
66889,55680,46149,361,76,1000,0,1,+,0,+,1,+
66890,55680,46149,361,74,1000,0,0,+,0,+,1,+
66891,55680,46149,361,73,1000,0,0,+,0,+,1,+
66892,55680,46149,361,72,1000,0,0,+,0,+,1,+
66893,55680,46149,361,71,1000,0,0,+,0,+,1,+
66894,55680,46149,361,78,1000,1,1,+,0,+,1,+
66895,55688,46180,1085,226,1000,0,0,+,0,+,0,+
66896,55688,46180,1085,227,1000,0,20,+,0,+,0,+
66897,55689,46180,2293,239,0,0,0,+,0,+,0,+
66898,55689,46180,2293,240,0,0,0,+,0,+,0,+
66899,55690,46150,361,79,1000,0,1,+,0,+,1,+
66900,55690,46150,361,77,1000,0,1,+,0,+,1,+
66901,55690,46150,361,75,1000,0,1,+,0,+,1,+
66902,55690,46150,361,76,1000,0,1,+,0,+,1,+
66903,55690,46150,361,74,1000,0,0,+,0,+,1,+
66904,55690,46150,361,73,1000,0,0,+,0,+,1,+
