Group,Zip Code,Delivery Time,Package,Price
Texas Eastern,77705,2nd,26x27x1 5lb packages small MOUNTED,13.01
Texas Eastern,77705,nextday,26x27x1 5lb packages small MOUNTED,31.74
Texas Eastern,77705,ground,50x38x1 7lb packages huge MOUNTED,22.67
Texas Eastern,77705,3day,50x38x1 7lb packages huge MOUNTED,29.90
Texas Eastern,77705,2nd,50x38x1 7lb packages huge MOUNTED,34.61
Texas Eastern,77705,nextday,50x38x1 7lb packages huge MOUNTED,67.10
Texas Southern,78521,ground,26x3x3 1lb packages poster,9.49
Texas Southern,78521,3day,26x3x3 1lb packages poster,11.29
Texas Southern,78521,2nd,26x3x3 1lb packages poster,11.96
Texas Southern,78521,nextday,26x3x3 1lb packages poster,25.89
Texas Southern,78521,ground,36x3x3 3lb packages poster,9.48
Texas Southern,78521,3day,36x3x3 3lb packages poster,11.65
Texas Southern,78521,2nd,36x3x3 3lb packages poster,13.34
Texas Southern,78521,nextday,36x3x3 3lb packages poster,30.89
Texas Southern,78521,ground,26x27x1 5lb packages small MOUNTED,9.48
Texas Southern,78521,3day,26x27x1 5lb packages small MOUNTED,13.75
Texas Southern,78521,2nd,26x27x1 5lb packages small MOUNTED,17.18
Texas Southern,78521,nextday,26x27x1 5lb packages small MOUNTED,32.91
Texas Southern,78521,ground,50x38x1 7lb packages huge MOUNTED,23.05
Texas Southern,78521,3day,50x38x1 7lb packages huge MOUNTED,36.26
Texas Southern,78521,2nd,50x38x1 7lb packages huge MOUNTED,44.64
Texas Southern,78521,nextday,50x38x1 7lb packages huge MOUNTED,69.81
South Carolina Western,29824,ground,26x3x3 1lb packages poster,11.48
South Carolina Western,29824,3day,26x3x3 1lb packages poster,13.35
South Carolina Western,29824,2nd,26x3x3 1lb packages poster,14.03
South Carolina Western,29824,nextday,26x3x3 1lb packages poster,27.21
South Carolina Western,29824,ground,36x3x3 3lb packages poster,11.48
South Carolina Western,29824,3day,36x3x3 3lb packages poster,13.35
South Carolina Western,29824,2nd,36x3x3 3lb packages poster,14.03
South Carolina Western,29824,nextday,36x3x3 3lb packages poster,30.80
South Carolina Western,29824,ground,26x27x1 5lb packages small MOUNTED,11.49
South Carolina Western,29824,3day,26x27x1 5lb packages small MOUNTED,13.35
South Carolina Western,29824,2nd,26x27x1 5lb packages small MOUNTED,15.07
South Carolina Western,29824,nextday,26x27x1 5lb packages small MOUNTED,33.81
South Carolina Western,29824,ground,50x38x1 7lb packages huge MOUNTED,24.64
South Carolina Western,29824,3day,50x38x1 7lb packages huge MOUNTED,31.98
South Carolina Western,29824,2nd,50x38x1 7lb packages huge MOUNTED,36.69
South Carolina Western,29824,nextday,50x38x1 7lb packages huge MOUNTED,69.17
South Carolina Eastern,29154,ground,26x3x3 1lb packages poster,11.16
South Carolina Eastern,29154,3day,26x3x3 1lb packages poster,13.03
South Carolina Eastern,29154,2nd,26x3x3 1lb packages poster,13.71
South Carolina Eastern,29154,nextday,26x3x3 1lb packages poster,26.89
South Carolina Eastern,29154,ground,36x3x3 3lb packages poster,11.16
South Carolina Eastern,29154,3day,36x3x3 3lb packages poster,13.03
South Carolina Eastern,29154,2nd,36x3x3 3lb packages poster,13.71
South Carolina Eastern,29154,nextday,36x3x3 3lb packages poster,30.48
South Carolina Eastern,29154,ground,26x27x1 5lb packages small MOUNTED,11.16
South Carolina Eastern,29154,3day,26x27x1 5lb packages small MOUNTED,13.03
South Carolina Eastern,29154,2nd,26x27x1 5lb packages small MOUNTED,14.75
South Carolina Eastern,29154,nextday,26x27x1 5lb packages small MOUNTED,33.49
South Carolina Eastern,29154,ground,50x38x1 7lb packages huge MOUNTED,24.32
South Carolina Eastern,29154,3day,50x38x1 7lb packages huge MOUNTED,31.66
South Carolina Eastern,29154,2nd,50x38x1 7lb packages huge MOUNTED,36.36
South Carolina Eastern,29154,nextday,50x38x1 7lb packages huge MOUNTED,68.84
Rhode Island,2885,ground,26x3x3 1lb packages poster,9.49
Rhode Island,2885,3day,26x3x3 1lb packages poster,11.29
Rhode Island,2885,2nd,26x3x3 1lb packages poster,11.96
Rhode Island,2885,nextday,26x3x3 1lb packages poster,25.14
Rhode Island,2885,ground,36x3x3 3lb packages poster,9.49
Rhode Island,2885,3day,36x3x3 3lb packages poster,11.29
Rhode Island,2885,2nd,36x3x3 3lb packages poster,11.97
Rhode Island,2885,nextday,36x3x3 3lb packages poster,28.74
Rhode Island,2885,ground,26x27x1 5lb packages small MOUNTED,9.48
Rhode Island,2885,3day,26x27x1 5lb packages small MOUNTED,11.29
Rhode Island,2885,2nd,26x27x1 5lb packages small MOUNTED,13.01
Rhode Island,2885,nextday,26x27x1 5lb packages small MOUNTED,31.74
Rhode Island,2885,ground,50x38x1 7lb packages huge MOUNTED,22.67
Rhode Island,2885,3day,50x38x1 7lb packages huge MOUNTED,29.90
Rhode Island,2885,2nd,50x38x1 7lb packages huge MOUNTED,34.61
Rhode Island,2885,nextday,50x38x1 7lb packages huge MOUNTED,67.10
Virginia Northern,22801,ground,26x3x3 1lb packages poster,9.48
Virginia Northern,22801,3day,26x3x3 1lb packages poster,11.29
Virginia Northern,22801,2nd,26x3x3 1lb packages poster,11.96
Virginia Northern,22801,nextday,26x3x3 1lb packages poster,22.82
Virginia Northern,22801,ground,36x3x3 3lb packages poster,9.49
Virginia Northern,22801,3day,36x3x3 3lb packages poster,11.29
Virginia Northern,22801,2nd,36x3x3 3lb packages poster,11.96
Virginia Northern,22801,nextday,36x3x3 3lb packages poster,25.27
Virginia Northern,22801,ground,26x27x1 5lb packages small MOUNTED,9.48
Virginia Northern,22801,3day,26x27x1 5lb packages small MOUNTED,11.29
Virginia Northern,22801,2nd,26x27x1 5lb packages small MOUNTED,11.97
Virginia Northern,22801,nextday,26x27x1 5lb packages small MOUNTED,28.87
Virginia Northern,22801,ground,50x38x1 7lb packages huge MOUNTED,21.62
Virginia Northern,22801,3day,50x38x1 7lb packages huge MOUNTED,24.82
Virginia Northern,22801,2nd,50x38x1 7lb packages huge MOUNTED,27.05
Virginia Northern,22801,nextday,50x38x1 7lb packages huge MOUNTED,57.82
Virginia Western,24060,ground,26x3x3 1lb packages poster,9.48
Virginia Western,24060,3day,26x3x3 1lb packages poster,11.29
Virginia Western,24060,2nd,26x3x3 1lb packages poster,11.96
Virginia Western,24060,nextday,26x3x3 1lb packages poster,22.82
Virginia Western,24060,ground,36x3x3 3lb packages poster,9.49
Virginia Western,24060,3day,36x3x3 3lb packages poster,11.29
Virginia Western,24060,2nd,36x3x3 3lb packages poster,11.96
Virginia Western,24060,nextday,36x3x3 3lb packages poster,25.27
Virginia Western,24060,ground,26x27x1 5lb packages small MOUNTED,9.48
Virginia Western,24060,3day,26x27x1 5lb packages small MOUNTED,11.29
Virginia Western,24060,2nd,26x27x1 5lb packages small MOUNTED,11.97
Virginia Western,24060,nextday,26x27x1 5lb packages small MOUNTED,28.87
Virginia Western,24060,ground,50x38x1 7lb packages huge MOUNTED,21.62
Virginia Western,24060,3day,50x38x1 7lb packages huge MOUNTED,24.82
Virginia Western,24060,2nd,50x38x1 7lb packages huge MOUNTED,27.05
Virginia Western,24060,nextday,50x38x1 7lb packages huge MOUNTED,57.82
Virginia Southern,24592,ground,26x3x3 1lb packages poster,9.48
Virginia Southern,24592,3day,26x3x3 1lb packages poster,11.29
Virginia Southern,24592,2nd,26x3x3 1lb packages poster,11.96
Virginia Southern,24592,nextday,26x3x3 1lb packages poster,22.82
Virginia Southern,24592,ground,36x3x3 3lb packages poster,9.49
Virginia Southern,24592,3day,36x3x3 3lb packages poster,11.29
Virginia Southern,24592,2nd,36x3x3 3lb packages poster,11.96
Virginia Southern,24592,nextday,36x3x3 3lb packages poster,25.27
Virginia Southern,24592,ground,26x27x1 5lb packages small MOUNTED,9.48
Virginia Southern,24592,3day,26x27x1 5lb packages small MOUNTED,11.29
Virginia Southern,24592,2nd,26x27x1 5lb packages small MOUNTED,11.97
Virginia Southern,24592,nextday,26x27x1 5lb packages small MOUNTED,28.87
Virginia Southern,24592,ground,50x38x1 7lb packages huge MOUNTED,21.62
Virginia Southern,24592,3day,50x38x1 7lb packages huge MOUNTED,24.82
Virginia Southern,24592,2nd,50x38x1 7lb packages huge MOUNTED,27.05
Virginia Southern,24592,nextday,50x38x1 7lb packages huge MOUNTED,57.82
Louisiana West,71446,ground,26x3x3 1lb packages poster,11.48
Louisiana West,71446,3day,26x3x3 1lb packages poster,13.35
Louisiana West,71446,2nd,26x3x3 1lb packages poster,14.03
Louisiana West,71446,nextday,26x3x3 1lb packages poster,27.21
Louisiana West,71446,ground,36x3x3 3lb packages poster,11.48
Louisiana West,71446,3day,36x3x3 3lb packages poster,13.35
Louisiana West,71446,2nd,36x3x3 3lb packages poster,14.03
Louisiana West,71446,nextday,36x3x3 3lb packages poster,30.80
Louisiana West,71446,ground,26x27x1 5lb packages small MOUNTED,11.49
Louisiana West,71446,3day,26x27x1 5lb packages small MOUNTED,13.35
Louisiana West,71446,2nd,26x27x1 5lb packages small MOUNTED,15.07
Louisiana West,71446,nextday,26x27x1 5lb packages small MOUNTED,33.81
Louisiana West,71446,ground,50x38x1 7lb packages huge MOUNTED,24.64
Louisiana West,71446,3day,50x38x1 7lb packages huge MOUNTED,31.98
Louisiana West,71446,2nd,50x38x1 7lb packages huge MOUNTED,36.69
Louisiana West,71446,nextday,50x38x1 7lb packages huge MOUNTED,69.17
Louisiana South West,70546,ground,26x3x3 1lb packages poster,11.16
Louisiana South West,70546,3day,26x3x3 1lb packages poster,13.03
Louisiana South West,70546,2nd,26x3x3 1lb packages poster,13.71
Louisiana South West,70546,nextday,26x3x3 1lb packages poster,26.89
Louisiana South West,70546,ground,36x3x3 3lb packages poster,11.16
Louisiana South West,70546,3day,36x3x3 3lb packages poster,13.03
Louisiana South West,70546,2nd,36x3x3 3lb packages poster,13.71
Louisiana South West,70546,nextday,36x3x3 3lb packages poster,30.48
Louisiana South West,70546,ground,26x27x1 5lb packages small MOUNTED,11.16
Louisiana South West,70546,3day,26x27x1 5lb packages small MOUNTED,13.03
Louisiana South West,70546,2nd,26x27x1 5lb packages small MOUNTED,14.75
Louisiana South West,70546,nextday,26x27x1 5lb packages small MOUNTED,33.49
Louisiana South West,70546,ground,50x38x1 7lb packages huge MOUNTED,24.32
Louisiana South West,70546,3day,50x38x1 7lb packages huge MOUNTED,31.66
Louisiana South West,70546,2nd,50x38x1 7lb packages huge MOUNTED,36.36
Louisiana South West,70546,nextday,50x38x1 7lb packages huge MOUNTED,68.84
Maryland,21842,ground,26x3x3 1lb packages poster,9.49
Maryland,21842,3day,26x3x3 1lb packages poster,11.29
Maryland,21842,2nd,26x3x3 1lb packages poster,11.96
Maryland,21842,nextday,26x3x3 1lb packages poster,25.15
Maryland,21842,ground,36x3x3 3lb packages poster,9.49
Maryland,21842,3day,36x3x3 3lb packages poster,11.29
Maryland,21842,2nd,36x3x3 3lb packages poster,11.97
Maryland,21842,nextday,36x3x3 3lb packages poster,28.74
Maryland,21842,ground,26x27x1 5lb packages small MOUNTED,9.48
Maryland,21842,3day,26x27x1 5lb packages small MOUNTED,11.29
Maryland,21842,2nd,26x27x1 5lb packages small MOUNTED,13.01
Maryland,21842,nextday,26x27x1 5lb packages small MOUNTED,15.30
Maryland,21842,ground,50x38x1 7lb packages huge MOUNTED,22.67
